date,key,label,ind,occ,unocc,cap,cap_funding,rate,col_type,indent,is_total
2026-08-19,room_based,"Shelter Programs, Room-Based, Total",1971,,,,,,summary,1,True
2026-08-19,singles_sector,"Singles Sector Programs, Total",5648,,,,,,summary,1,True
2026-08-19,singles_shelter,"  Shelter Programs, Singles, Total",3255,3255,127,3382,3518,96.2,summary,2,False
2026-08-19,allied_summ,"  Allied Services, Total",355,355,8,363,368,97.8,summary,2,False
2026-08-19,temp_summ,"  Temporary Programs, Total",2038,,,,,,summary,2,False
2026-08-19,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-08-19,fam_total,"Family Sector, Total",1529,489,2,491,586,99.6,room,0,True
2026-08-19,fam_emerg,"Families, Emergency Shelter Programs",676,226,2,228,249,99.1,room,1,False
2026-08-19,fam_trans_r,"Families, Transitional Shelter Programs",338,120,0,120,119,100.0,room,1,False
2026-08-19,fam_hotel,"Families, Motel/Hotel Programs",515,143,0,143,218,100.0,room,1,False
2026-08-19,sng_hotel,"Single Sector Motel/Hotel, Total",442,204,0,204,258,100.0,room,0,True
2026-08-19,singles_total,"Singles Sectors, Total",3255,3255,127,3382,3518,96.2,bed,0,True
2026-08-19,emerg_total,"Emergency Shelter Programs, Total",2496,2496,56,2552,2673,97.8,bed,1,True
2026-08-19,mix_emerg,"Mixed Adult, Emergency",536,536,4,540,582,99.3,bed,2,False
2026-08-19,men_emerg,"Men, Emergency",1036,1036,41,1077,1149,96.2,bed,2,False
2026-08-19,wom_emerg,"Women, Emergency",485,485,1,486,492,99.8,bed,2,False
2026-08-19,yth_emerg,"Youth, Emergency",439,439,10,449,450,97.8,bed,2,False
2026-08-19,trans_total,"Transitional Shelter Programs, Total",759,759,71,830,845,91.4,bed,1,True
2026-08-19,mix_trans,"Mixed Adult, Transitional",207,207,12,219,219,94.5,bed,2,False
2026-08-19,fam_trans_b,"Families, Transitional",6,6,15,21,22,28.6,bed,2,False
2026-08-19,men_trans,"Men, Transitional",164,164,18,182,185,90.1,bed,2,False
2026-08-19,wom_trans,"Women, Transitional",120,120,2,122,128,98.4,bed,2,False
2026-08-19,yth_trans,"Youth, Transitional",262,262,24,286,291,91.6,bed,2,False
2026-08-19,allied_total,"Allied Services, Total",355,355,8,363,368,97.8,bed,0,True
2026-08-19,respites,24-Hour Respites,294,294,1,295,300,99.7,bed,1,False
2026-08-19,dropin,24-Hour Women's Drop-ins,61,61,7,68,68,89.7,bed,1,False
2026-08-19,temp_resp,24-Hour Temporary Response Sites,44,44,0,44,50,100.0,bed,0,False
2026-08-19,hotels,Hotels,1994,1494,6,1500,1515,99.6,room,0,False
2026-08-19,iso,Isolation/Recovery Programs Combined Total,0,0,0,0,0,,room,0,False
2026-08-18,all_shelter,"All Shelter Programs, Total",7634,,,,,,summary,0,True
2026-08-18,room_based,"Shelter Programs, Room-Based, Total",1973,,,,,,summary,1,True
2026-08-18,singles_sector,"Singles Sector Programs, Total",5661,,,,,,summary,1,True
2026-08-18,singles_shelter,"  Shelter Programs, Singles, Total",3263,3263,123,3386,3518,96.4,summary,2,False
2026-08-18,allied_summ,"  Allied Services, Total",356,356,8,364,368,97.8,summary,2,False
2026-08-18,temp_summ,"  Temporary Programs, Total",2042,,,,,,summary,2,False
2026-08-18,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-08-18,fam_total,"Family Sector, Total",1528,488,2,490,586,99.6,room,0,True
2026-08-18,fam_emerg,"Families, Emergency Shelter Programs",675,225,2,227,249,99.1,room,1,False
2026-08-18,fam_trans_r,"Families, Transitional Shelter Programs",338,120,0,120,119,100.0,room,1,False
2026-08-18,fam_hotel,"Families, Motel/Hotel Programs",515,143,0,143,218,100.0,room,1,False
2026-08-18,sng_hotel,"Single Sector Motel/Hotel, Total",445,204,0,204,258,100.0,room,0,True
2026-08-18,singles_total,"Singles Sectors, Total",3263,3263,123,3386,3518,96.4,bed,0,True
2026-08-18,emerg_total,"Emergency Shelter Programs, Total",2499,2499,57,2556,2673,97.8,bed,1,True
2026-08-18,mix_emerg,"Mixed Adult, Emergency",538,538,4,542,582,99.3,bed,2,False
2026-08-18,men_emerg,"Men, Emergency",1035,1035,43,1078,1149,96.0,bed,2,False
2026-08-18,wom_emerg,"Women, Emergency",486,486,1,487,492,99.8,bed,2,False
2026-08-18,yth_emerg,"Youth, Emergency",440,440,9,449,450,98.0,bed,2,False
2026-08-18,trans_total,"Transitional Shelter Programs, Total",764,764,66,830,845,92.0,bed,1,True
2026-08-18,mix_trans,"Mixed Adult, Transitional",207,207,12,219,219,94.5,bed,2,False
2026-08-18,fam_trans_b,"Families, Transitional",6,6,15,21,22,28.6,bed,2,False
2026-08-18,men_trans,"Men, Transitional",167,167,15,182,185,91.8,bed,2,False
2026-08-18,wom_trans,"Women, Transitional",120,120,2,122,128,98.4,bed,2,False
2026-08-18,yth_trans,"Youth, Transitional",264,264,22,286,291,92.3,bed,2,False
2026-08-18,allied_total,"Allied Services, Total",356,356,8,364,368,97.8,bed,0,True
2026-08-18,respites,24-Hour Respites,295,295,1,296,300,99.7,bed,1,False
2026-08-18,dropin,24-Hour Women's Drop-ins,61,61,7,68,68,89.7,bed,1,False
2026-08-18,temp_resp,24-Hour Temporary Response Sites,46,46,0,46,50,100.0,bed,0,False
2026-08-18,hotels,Hotels,1996,1496,6,1502,1515,99.6,room,0,False
2026-08-18,iso,Isolation/Recovery Programs Combined Total,0,0,0,0,0,,room,0,False
2026-08-17,all_shelter,"All Shelter Programs, Total",7640,,,,,,summary,0,True
2026-08-17,room_based,"Shelter Programs, Room-Based, Total",1976,,,,,,summary,1,True
2026-08-17,singles_sector,"Singles Sector Programs, Total",5664,,,,,,summary,1,True
2026-08-17,singles_shelter,"  Shelter Programs, Singles, Total",3264,3264,122,3386,3518,96.4,summary,2,False
2026-08-17,allied_summ,"  Allied Services, Total",355,355,9,364,368,97.5,summary,2,False
2026-08-17,temp_summ,"  Temporary Programs, Total",2045,,,,,,summary,2,False
2026-08-17,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-08-17,fam_total,"Family Sector, Total",1530,489,3,492,586,99.4,room,0,True
2026-08-17,fam_emerg,"Families, Emergency Shelter Programs",674,225,3,228,249,98.7,room,1,False
2026-08-17,fam_trans_r,"Families, Transitional Shelter Programs",338,120,0,120,119,100.0,room,1,False
2026-08-17,fam_hotel,"Families, Motel/Hotel Programs",518,144,0,144,218,100.0,room,1,False
2026-08-17,sng_hotel,"Single Sector Motel/Hotel, Total",446,204,0,204,258,100.0,room,0,True
2026-08-17,singles_total,"Singles Sectors, Total",3264,3264,122,3386,3518,96.4,bed,0,True
2026-08-17,emerg_total,"Emergency Shelter Programs, Total",2504,2504,52,2556,2673,98.0,bed,1,True
2026-08-17,mix_emerg,"Mixed Adult, Emergency",539,539,3,542,582,99.4,bed,2,False
2026-08-17,men_emerg,"Men, Emergency",1039,1039,39,1078,1149,96.4,bed,2,False
2026-08-17,wom_emerg,"Women, Emergency",487,487,0,487,492,100.0,bed,2,False
2026-08-17,yth_emerg,"Youth, Emergency",439,439,10,449,450,97.8,bed,2,False
2026-08-17,trans_total,"Transitional Shelter Programs, Total",760,760,70,830,845,91.6,bed,1,True
2026-08-17,mix_trans,"Mixed Adult, Transitional",207,207,12,219,219,94.5,bed,2,False
2026-08-17,fam_trans_b,"Families, Transitional",6,6,15,21,22,28.6,bed,2,False
2026-08-17,men_trans,"Men, Transitional",164,164,18,182,185,90.1,bed,2,False
2026-08-17,wom_trans,"Women, Transitional",120,120,2,122,128,98.4,bed,2,False
2026-08-17,yth_trans,"Youth, Transitional",263,263,23,286,291,92.0,bed,2,False
2026-08-17,allied_total,"Allied Services, Total",355,355,9,364,368,97.5,bed,0,True
2026-08-17,respites,24-Hour Respites,295,295,1,296,300,99.7,bed,1,False
2026-08-17,dropin,24-Hour Women's Drop-ins,60,60,8,68,68,88.2,bed,1,False
2026-08-17,temp_resp,24-Hour Temporary Response Sites,47,47,0,47,50,100.0,bed,0,False
2026-08-17,hotels,Hotels,1998,1498,5,1503,1515,99.7,room,0,False
2026-08-17,iso,Isolation/Recovery Programs Combined Total,0,0,0,0,0,,room,0,False
2026-08-16,all_shelter,"All Shelter Programs, Total",7648,,,,,,summary,0,True
2026-08-16,room_based,"Shelter Programs, Room-Based, Total",1984,,,,,,summary,1,True
2026-08-16,singles_sector,"Singles Sector Programs, Total",5664,,,,,,summary,1,True
2026-08-16,singles_shelter,"  Shelter Programs, Singles, Total",3263,3263,120,3383,3518,96.5,summary,2,False
2026-08-16,allied_summ,"  Allied Services, Total",358,358,6,364,368,98.4,summary,2,False
2026-08-16,temp_summ,"  Temporary Programs, Total",2043,,,,,,summary,2,False
2026-08-16,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-08-16,fam_total,"Family Sector, Total",1537,491,1,492,586,99.8,room,0,True
2026-08-16,fam_emerg,"Families, Emergency Shelter Programs",681,227,1,228,249,99.6,room,1,False
